variables,elevation,southwestness,slope,solar_radiation_summer,solar_radiation_equinox,solar_radiation_winter,road_dist,precipitation,max_temp,mean_temp,min_temp,max_vpd_jan,max_vpd_aug,available_water_supply,bulk_density,organic_matter,clay,sand,silt,number_fires,min_return_interval,min_anomaly
elevation,1,-0.145472306,-0.264582905,0.610479207,0.320808311,0.226481922,0.23656419,0.786250824,-0.699990453,-0.489221786,-0.029052196,-0.876689481,-0.557983959,-0.228433721,0.482963013,-0.355753599,-0.471066059,0.501754144,-0.458722835,-0.238631035,0.256272516,0.461921791
southwestness,-0.145472306,1,0.076122408,0.009538705,0.482861265,0.581863993,-0.168682885,-0.019442554,0.114627552,0.026604305,-0.053482132,0.164652946,0.102783527,0.0581701,-0.066485619,0.028619948,0.059814012,-0.069283073,0.065931326,0.064362774,-0.03250712,-0.115531416
slope,-0.264582905,0.076122408,1,-0.874031394,-0.54520123,-0.358290477,-0.059616609,-0.239076405,0.240258071,0.161549753,0.024268238,0.217672028,0.199536109,-0.016111104,-0.118893314,0.111960847,0.081054148,-0.130931013,0.141113481,0.116129406,-0.101268157,-0.182548431
solar_radiation_summer,0.610479207,0.009538705,-0.874031394,1,0.740614531,0.57217969,0.112119533,0.511322865,-0.482866469,-0.308006398,-0.011950005,-0.519250488,-0.397543437,-0.061154184,0.265191798,-0.226025866,-0.2274199,0.291472453,-0.289728029,-0.162735593,0.157294511,0.319757456
solar_radiation_equinox,0.320808311,0.482861265,-0.54520123,0.740614531,1,0.963920721,-0.002369185,0.333466385,-0.301835559,-0.148192971,0.024862297,-0.287720557,-0.258042124,-0.037168835,0.10055798,-0.098436077,-0.090048,0.123285091,-0.125313189,-0.019487013,0.014788779,0.139864443
solar_radiation_winter,0.226481922,0.581863993,-0.358290477,0.57217969,0.963920721,1,-0.038057796,0.258578252,-0.237904324,-0.105444469,0.02269243,-0.203226686,-0.209564506,-0.034788993,0.049104006,-0.052510304,-0.045510459,0.06195208,-0.062573253,0.021169448,-0.021393411,0.088578351
road_dist,0.23656419,-0.168682885,-0.059616609,0.112119533,-0.002369185,-0.038057796,1,-0.228511552,-0.004093358,-0.044142131,0.041103502,-0.308167303,0.110162004,-0.290551231,0.083636806,-0.065220621,-0.164244366,0.123799986,-0.090318167,-0.161887236,0.123914241,0.253168211
precipitation,0.786250824,-0.019442554,-0.239076405,0.511322865,0.333466385,0.258578252,-0.228511552,1,-0.631160305,-0.574621751,-0.204543009,-0.640744604,-0.520071072,-0.0750511,0.574308629,-0.349271855,-0.505809918,0.607030571,-0.586328133,-0.248183614,0.249523748,0.422629145
max_temp,-0.699990453,0.114627552,0.240258071,-0.482866469,-0.301835559,-0.237904324,-0.004093358,-0.631160305,1,0.236818492,-0.281767289,0.80106241,0.965266271,-0.026367281,-0.286210557,0.012688851,0.194707034,-0.269450872,0.275986749,0.122328187,-0.079009265,-0.302130727
mean_temp,-0.489221786,0.026604305,0.161549753,-0.308006398,-0.148192971,-0.105444469,-0.044142131,-0.574621751,0.236818492,1,0.845767933,0.176606145,0.040890254,0.100339737,-0.623575009,0.307037462,0.500340865,-0.597816653,0.576227124,0.504451628,-0.614655648,-0.479211912
min_temp,-0.029052196,-0.053482132,0.024268238,-0.011950005,0.024862297,0.02269243,0.041103502,-0.204543009,-0.281767289,0.845767933,1,-0.335628644,-0.441047265,0.044069893,-0.448385329,0.241962981,0.36012181,-0.426359762,0.408922549,0.426239048,-0.556918291,-0.289780933
max_vpd_jan,-0.876689481,0.164652946,0.217672028,-0.519250488,-0.287720557,-0.203226686,-0.308167303,-0.640744604,0.80106241,0.176606145,-0.335628644,1,0.730810966,0.20385021,-0.291734572,0.208618429,0.30646195,-0.325247538,0.29710684,0.125932196,-0.085860089,-0.342849881
max_vpd_aug,-0.557983959,0.102783527,0.199536109,-0.397543437,-0.258042124,-0.209564506,0.110162004,-0.520071072,0.965266271,0.040890254,-0.441047265,0.730810966,1,-0.10131058,-0.141176695,-0.091921486,0.04442201,-0.114112527,0.136170569,0.005709793,0.043903186,-0.158628515
available_water_supply,-0.228433721,0.0581701,-0.016111104,-0.061154184,-0.037168835,-0.034788993,-0.290551231,-0.0750511,-0.026367281,0.100339737,0.044069893,0.20385021,-0.10131058,1,0.116691417,0.09158019,0.341138421,-0.03226887,-0.124185311,0.014953604,0.060411626,-0.236814702
bulk_density,0.482963013,-0.066485619,-0.118893314,0.265191798,0.10055798,0.049104006,0.083636806,0.574308629,-0.286210557,-0.623575009,-0.448385329,-0.291734572,-0.141176695,0.116691417,1,-0.261252101,-0.705884623,0.898640222,-0.8885241,-0.496308796,0.531011313,0.522039344
organic_matter,-0.355753599,0.028619948,0.111960847,-0.226025866,-0.098436077,-0.052510304,-0.065220621,-0.349271855,0.012688851,0.307037462,0.241962981,0.208618429,-0.091921486,0.09158019,-0.261252101,1,0.531844381,-0.477047482,0.392379512,0.311885605,-0.328266303,-0.335367372
clay,-0.471066059,0.059814012,0.081054148,-0.2274199,-0.090048,-0.045510459,-0.164244366,-0.505809918,0.194707034,0.500340865,0.36012181,0.30646195,0.04442201,0.341138421,-0.705884623,0.531844381,1,-0.839142436,0.661625597,0.435760269,-0.412198967,-0.549659639
sand,0.501754144,-0.069283073,-0.130931013,0.291472453,0.123285091,0.06195208,0.123799986,0.607030571,-0.269450872,-0.597816653,-0.426359762,-0.325247538,-0.114112527,-0.03226887,0.898640222,-0.477047482,-0.839142436,1,-0.96302599,-0.539638267,0.52938849,0.564658375
silt,-0.458722835,0.065931326,0.141113481,-0.289728029,-0.125313189,-0.062573253,-0.090318167,-0.586328133,0.275986749,0.576227124,0.408922549,0.29710684,0.136170569,-0.124185311,-0.8885241,0.392379512,0.661625597,-0.96302599,1,0.527512665,-0.524766529,-0.50621128
number_fires,-0.238631035,0.064362774,0.116129406,-0.162735593,-0.019487013,0.021169448,-0.161887236,-0.248183614,0.122328187,0.504451628,0.426239048,0.125932196,0.005709793,0.014953604,-0.496308796,0.311885605,0.435760269,-0.539638267,0.527512665,1,-0.791955194,-0.535757933
min_return_interval,0.256272516,-0.03250712,-0.101268157,0.157294511,0.014788779,-0.021393411,0.123914241,0.249523748,-0.079009265,-0.614655648,-0.556918291,-0.085860089,0.043903186,0.060411626,0.531011313,-0.328266303,-0.412198967,0.52938849,-0.524766529,-0.791955194,1,0.34389955
min_anomaly,0.461921791,-0.115531416,-0.182548431,0.319757456,0.139864443,0.088578351,0.253168211,0.422629145,-0.302130727,-0.479211912,-0.289780933,-0.342849881,-0.158628515,-0.236814702,0.522039344,-0.335367372,-0.549659639,0.564658375,-0.50621128,-0.535757933,0.34389955,1
